onset	duration	sample	value	response_type	congruence	response_time	response_out_of_range	largeletter	smallletter
411.2890625	n/a	105290	responseSmallT	correct	n/a	0.54688	no	n/a	n/a
412.3554688	n/a	105563	largeTSmallT	correct	congruent	0.49219	no	T	T
412.8476562	n/a	105689	responseSmallT	correct	n/a	0.49219	no	n/a	n/a
413.9140625	n/a	105962	largeTSmallT	correct	congruent	0.46094	no	T	T
414.375	n/a	106080	responseSmallT	correct	n/a	0.46094	no	n/a	n/a
415.4335938	n/a	106351	largeHSmallH	correct	congruent	0.48828	no	H	H
415.921875	n/a	106476	responseSmallH	correct	n/a	0.48828	no	n/a	n/a
416.9804688	n/a	106747	largeTSmallH	correct	incongruent	0.48828	no	T	H
417.46875	n/a	106872	responseSmallH	correct	n/a	0.48828	no	n/a	n/a
418.5273438	n/a	107143	largeTSmallH	correct	incongruent	0.4375	no	T	H
418.9648438	n/a	107255	responseSmallH	correct	n/a	0.4375	no	n/a	n/a
420.0195312	n/a	107525	largeTSmallT	error	congruent	0.46484	no	T	T
420.484375	n/a	107644	responseSmallH	error	n/a	0.46484	no	n/a	n/a
421.5546875	n/a	107918	largeHSmallH	correct	congruent	0.54688	no	H	H
422.1015625	n/a	108058	responseSmallH	correct	n/a	0.54688	no	n/a	n/a
423.1796875	n/a	108334	largeTSmallT	correct	congruent	0.47656	no	T	T
423.65625	n/a	108456	responseSmallT	correct	n/a	0.47656	no	n/a	n/a
424.7265625	n/a	108730	largeHSmallT	correct	incongruent	0.77344	no	H	T
425.5	n/a	108928	responseSmallT	correct	n/a	0.77344	no	n/a	n/a
426.5664062	n/a	109201	largeHSmallH	correct	congruent	0.55078	no	H	H
427.1171875	n/a	109342	responseSmallH	correct	n/a	0.55078	no	n/a	n/a
428.1796875	n/a	109614	largeTSmallH	correct	incongruent	0.55469	no	T	H
428.734375	n/a	109756	responseSmallH	correct	n/a	0.55469	no	n/a	n/a
429.8085938	n/a	110031	largeHSmallH	correct	congruent	0.50391	no	H	H
430.3125	n/a	110160	responseSmallH	correct	n/a	0.50391	no	n/a	n/a
431.3828125	n/a	110434	largeTSmallT	correct	congruent	0.41797	no	T	T
431.8007812	n/a	110541	responseSmallT	correct	n/a	0.41797	no	n/a	n/a
432.859375	n/a	110812	largeTSmallH	correct	incongruent	0.52344	no	T	H
433.3828125	n/a	110946	responseSmallH	correct	n/a	0.52344	no	n/a	n/a
434.4609375	n/a	111222	largeHSmallH	correct	congruent	0.53516	no	H	H
434.9960938	n/a	111359	responseSmallH	correct	n/a	0.53516	no	n/a	n/a
436.0625	n/a	111632	largeTSmallT	correct	congruent	0.49219	no	T	T
436.5546875	n/a	111758	responseSmallT	correct	n/a	0.49219	no	n/a	n/a
437.6210938	n/a	112031	largeHSmallH	correct	congruent	0.55078	no	H	H
438.171875	n/a	112172	responseSmallH	correct	n/a	0.55078	no	n/a	n/a
439.234375	n/a	112444	largeTSmallT	correct	congruent	0.46484	no	T	T
439.6992188	n/a	112563	responseSmallT	correct	n/a	0.46484	no	n/a	n/a
440.78125	n/a	112840	largeTSmallT	correct	congruent	0.57812	no	T	T
441.359375	n/a	112988	responseSmallT	correct	n/a	0.57812	no	n/a	n/a
442.421875	n/a	113260	largeHSmallT	correct	incongruent	0.56641	no	H	T
442.9882812	n/a	113405	responseSmallT	correct	n/a	0.56641	no	n/a	n/a
444.046875	n/a	113676	largeTSmallH	correct	incongruent	0.57422	no	T	H
444.6210938	n/a	113823	responseSmallH	correct	n/a	0.57422	no	n/a	n/a
445.6875	n/a	114096	largeHSmallH	correct	congruent	0.5625	no	H	H
446.25	n/a	114240	responseSmallH	correct	n/a	0.5625	no	n/a	n/a
447.3125	n/a	114512	largeHSmallT	correct	incongruent	0.70312	no	H	T
448.015625	n/a	114692	responseSmallT	correct	n/a	0.70312	no	n/a	n/a
449.0859375	n/a	114966	largeHSmallH	correct	congruent	0.625	no	H	H
449.7109375	n/a	115126	responseSmallH	correct	n/a	0.625	no	n/a	n/a
450.765625	n/a	115396	largeTSmallH	correct	incongruent	0.57812	no	T	H
451.34375	n/a	115544	responseSmallH	correct	n/a	0.57812	no	n/a	n/a
452.40625	n/a	115816	largeHSmallH	correct	congruent	0.57031	no	H	H
452.9765625	n/a	115962	responseSmallH	correct	n/a	0.57031	no	n/a	n/a
454.046875	n/a	116236	largeHSmallT	correct	incongruent	0.62109	no	H	T
454.6679688	n/a	116395	responseSmallT	correct	n/a	0.62109	no	n/a	n/a
455.7421875	n/a	116670	largeTSmallT	correct	congruent	0.62109	no	T	T
456.3632812	n/a	116829	responseSmallT	correct	n/a	0.62109	no	n/a	n/a
457.4335938	n/a	117103	largeTSmallH	correct	incongruent	0.5	no	T	H
457.9335938	n/a	117231	responseSmallH	correct	n/a	0.5	no	n/a	n/a
458.9921875	n/a	117502	largeHSmallH	correct	congruent	0.48828	no	H	H
459.4804688	n/a	117627	responseSmallH	correct	n/a	0.48828	no	n/a	n/a
460.5546875	n/a	117902	largeHSmallT	correct	incongruent	0.60938	no	H	T
461.1640625	n/a	118058	responseSmallT	correct	n/a	0.60938	no	n/a	n/a
462.21875	n/a	118328	largeTSmallT	correct	congruent	0.52734	no	T	T
462.7460938	n/a	118463	responseSmallT	correct	n/a	0.52734	no	n/a	n/a
463.8203125	n/a	118738	largeHSmallT	correct	incongruent	0.5625	no	H	T
464.3828125	n/a	118882	responseSmallT	correct	n/a	0.5625	no	n/a	n/a
465.4453125	n/a	119154	largeHSmallT	correct	incongruent	0.58984	no	H	T
466.0351562	n/a	119305	responseSmallT	correct	n/a	0.58984	no	n/a	n/a
467.1132812	n/a	119581	largeHSmallT	correct	incongruent	0.54297	no	H	T
467.65625	n/a	119720	responseSmallT	correct	n/a	0.54297	no	n/a	n/a
468.7265625	n/a	119994	largeHSmallH	correct	congruent	0.58203	no	H	H
